id;start_datetime;end_date_time;is_taken
1;2021-05-13T21:22:51;2021-05-13T22:18:01;NOT_TAKEN
2;2021-05-13T06:45:43;2021-05-13T07:25:22;TAKEN
3;2021-05-14T02:29:40;2021-05-13T06:10:03;NOT_TAKEN
4;2021-05-13T15:44:26;2021-05-13T07:24:12;NOT_TAKEN
5;2021-05-14T03:52:47;2021-05-13T23:06:12;NOT_TAKEN
6;2021-05-13T17:51:42;2021-05-13T11:45:14;TAKEN
7;2021-05-13T06:41:06;2021-05-13T09:36:30;NOT_TAKEN
8;2021-05-14T00:44:34;2021-05-13T10:58:49;TAKEN
9;2021-05-13T08:13:48;2021-05-13T23:36:40;TAKEN
10;2021-05-13T12:36:29;2021-05-13T12:28:11;NOT_TAKEN
